검색어,표시이름,주소,위도,경도,전화번호,카테고리
대구시 농업기술센터,군위군농업기술센터,대구 군위군 효령면 성리 111,36.18135088,128.5931908,054-383-5959,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
남양주시 농업기술센터,남양주농업기술센터,경기 남양주시 진건읍 사능리 92-1,37.64827543,127.195716,031-590-2312,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
강원 도시농업 사회적 협동조합,강원도시농업사회적협동조합,강원특별자치도 춘천시 신동면 증리 1148,37.81392261,127.7040107,033-241-2700,"교육,학문 > 교육단체 > 체험학습장"
이천시 농업기술센터,이천시농업기술센터,경기 이천시 중리동 386-1,37.27268037,127.4326022,031-644-2000,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
이천시 농업기술센터,이천시농업기술센터 연구개발과,경기 이천시 장호원읍 장호원리 332-4,37.11808249,127.612168,031-642-7883,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
이천시 농업기술센터,이천시농업기술센터 농기계임대사업 본소,경기 이천시 모가면 어농리 615-7,37.17552072,127.4400424,031-644-4139,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
광주광역시농업기술센터,광주광역시농업기술센터,광주 광산구 용곡동 418,35.12906114,126.7437745,062-613-5291,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
광주광역시농업기술센터,광주광역시농업기술센터 스마트농업교육관,광주 광산구 용곡동 418,35.12890072,126.7433603,,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
광주광역시농업기술센터,광주광역시농업기술센터 농업지원과,광주 광산구 용곡동 418,35.12907979,126.7438084,062-613-5274,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
홍성군농업기술센터,홍성군 농업기술센터,충남 홍성군 홍성읍 옥암리 420-4,36.59242957,126.6449112,041-630-9553,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
홍성군농업기술센터,홍성군 귀농귀촌종합지원센터,충남 홍성군 홍성읍 옥암리 420-4,36.59244757,126.6449045,041-631-8182,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
(주)자연체험학습장,자연체험학습장,경북 영천시 북안면 명주리 307-1,35.87376451,128.9947709,,"교육,학문 > 교육단체 > 체험학습장"
(주)자연체험학습장,숲속의아침 자연체험학습장,충남 서산시 운산면 고산리 478-1,36.77818007,126.6263012,,"교육,학문 > 교육단체 > 체험학습장"
(주)자연체험학습장,독립기념관야영장 자연체험학습장,충남 천안시 동남구 목천읍 신계리 산 9,36.77835276,127.2194984,,"교육,학문 > 교육단체 > 체험학습장"
전주시농업기술센터,전주시농업기술센터,전북특별자치도 전주시 덕진구 장동 452-32,35.85072909,127.0605668,063-281-6702,"사회,공공기관 > 행정기관 > 농림축산식품부 > 농업기술센터"
